Subject;Start Date;Start Time;End Date;End Time;All day event;description
Staatsfeiertag;05/01/2020;12:00;05/01/2020;12:00;true;
Weihnachten;12/24/2019;12:00;12/24/2019;12:00;true;
MEDT Test;12/17/2019;08:00;12/17/2019;09:45;false;
Ferienstart;12/23/2019;12:00;12/23/2019;12:00;true;
FIT 2019;11/28/2019;12:00;11/28/2019;12:00;true;
Chemie Test;11/18/2019;10:55;11/18/2019;11:15;false;
NWT Test;11/21/2019;12:45;11/21/2019;13:05;false;
Geburtstag;12/14/2019;12:00;12/14/2019;12:00;true;
Allerheiligen;11/1/2019;12:00;12/14/2019;12:00;true;
Allerseelen;11/2/2019;12:00;12/14/2019;12:00;true;
Schifahren;12/14/2019;7:00;12/14/2019;18:00;true;
Schifahren;12/7/2019;7:00;12/7/2019;18:00;true;
Bubble Soccer;06/13/2020;12:30;06/13/2020;20:00;true;
Michi Geburtstag;05/19/2020;12:30;05/19/2020;12:30;true;
Sommerferien;07/10/2020;9:00;07/10/2020;9:00;true;
Mein Geburtstag;06/03/2020;9:00;06/03/2020;9:00;true;
Bash Quiz;11/25/2019;8:00;11/25/2019;8:20;false;
Deutsch SA;11/25/2019;14:35;11/25/2019;16:20;false;
Mathe SA;11/12/2019;11:50;11/12/2019;12:45;false;
SEW Test;11/08/2019;8:00;11/25/2019;11:45;false;
Meeting;11/14/2019;8:55;11/14/2019;10:55;false;
Silvester;12/31/2019;12:00;12/31/2019;12:00;true;
SYT Test;11/27/2019;10:00;11/27/2019;10:20;false;
Michael besuchen;11/30/2019;12:00;11/30/2019;13:00;true;vergiss dei handy nd
